bridge spider	# a large  often found on bridges and near water ().
build a bridge and get over it	# en Stop worrying or complaining about it and move on.
bayardly	# en blind; stupid
breaking ball	# en A curveball.
bettable	# Suitable for betting; capable of being gambled.
bioproject	# A biological project|passage=Data for the MSD study were downloaded from SRA at NCBI and were available under the '''bioproject''' accession PRJNA234437.}}
big finger	# en The middle finger.# en The thumb.
bundle branch block	# en A heart condition in which the electrical impulses which pace the heart are not transmitted normally through the bundle of His.
Bazex syndrome	# Bazex-Dupré-Christol syndrome# acrokeratosis paraneoplastica of BazexCategory:English eponyms
Banglawash	# en A whitewash by the Bangladesh cricket team.Category:English 3-syllable words
bustamite	# en A triclinic-pinacoidal mineral containing calcium, manganese, oxygen, and silicon.
boobied	# en Having breasts
body text	# Within a book, the main portion of text, excluding the front matter and back matter.
bunned	# en Arranged in a bun.
breasticle	# en A breast.
beauwalloside	# A particular steroid glycoside.
bigsome	# Characterised or marked by bigness; large
bindii	# en Any of several weeds with unpleasant burrs:## en three-cornered jack, ## en puncture vine, ''Tribulus terrestris''## en # en A burr from one of these weeds.
bass boat	# A small boat, usually made from aluminum or fiberglass and propelled by two motors, designed and equipped primarily for fishing for bass or other panfish.
breastpoint	# en The place or point of a breast.
bicombing	# en A selection of a path for which two points moving simultaneously along lines that begin and end at a distance less than or equal to 1 apart always remain within a specified bounded distance of each other, independent of the lengths of the paths.|passage=In this paper, we prove the Cartan-Hadamard Theorem in a more general setting, namely for spaces which are not uniquely geodesic but locally possess a suitable selection of geodesics, a so-called convex '''bicombing'''. }}
Bessarabian	# A native or inhabitant of Bessarabia.
bucindolol	# A non-selective beta blocker drug with additional weak alpha-blocking properties and some intrinsic sympathomimetic activity.
beach	# en To run aground on a beach.# en To run aground|run (something) aground on a beach.# en To run into an obstacle or rough or soft ground, so that the floor of the vehicle rests on the ground and the wheels cannot gain traction.
bombs away	# Said before a projectile is unleashed.
bankster	# en A banker who is seen as criminally irresponsible, or as extortion|extorting bailout money from the taxpayers.|passage=Hearing Sir Fred the Shred and the rest of them utter some hedged half-apologies has not made the public feel any warmer to the '''banksters'''.}}
bistratal	# Having two strata (layers)
boughten	# en Having been purchased or bought (rather than homemade).#: ''Is that a '''boughten''' chair?''
big shop	# # en A large, regular purchase of grocery|groceries; as opposed to ad hoc or impulse purchases.|lang=en|date=2007-07-23|accessdate=2016-11-17|author=Angela|title=Food shopping: Weekly or Monthly?|work=Netmums|url=http://www.netmums.com/coffeehouse/house-garden-194/money-saving-budgeting-bargains-609/88752-food-shopping-weekly-monthly-all.html|passage=I do a monthly '''big shop''' and get bits in between. I think I would be better off planning meals for the week and going weekly.}}
big show	# The largest and most prominent performance in a circus.# en The major leagues, as compared to minor leagues.
big shot	# en A person with a reputation of importance or power.#: ''They stopped traffic so some '''big shot''' and his entourage could have the whole road to themselves.''# en A rare and significant chance to achieve fame or success.#: ''her one '''big shot''' at the brass ring''
bromoaryl	# en Any bromo-derivative of an aryl group
brandle	# en To shake; to (cause to) totter.
bullet list	# A list whose items start with the typographical symbol of bullet, that is •, or with other symbols other than numbers.
blow up someone's phone	# en To call or text someone constantly.
bioclimatic	# Of or pertaining to the relationship between living things and climate.#: '''''bioclimatic''' interactions''# en Focused on providing a comfortable microclimate.#: '''''bioclimatic''' housing''
benign neglect	# en A policy or strategy of deliberately taking no action concerning an issue, challenging situation, or other problem in the belief that this course will ultimately result in the best outcome possible.
bovinic acid	# rumenic acid
basikoside	# A particular steroid glycoside.
bouzoukist	# Someone who plays the bouzouki.Category:en:MusiciansCategory:en:People
bombing	# The action of dropping bombs from the air.# The action of placing and detonating bombs.
bevantolol	# A drug that acts as a beta blocker and calcium channel blocker.
bacteriorhodopsin	# en Any of several related purple photosynthetic proteins, found in halobacteria, that act as proton pumps
banded tube	# A kind of phytoclast consisting of micrometre-scale tubes with a banded internal ornamentation, known from terrestrial/freshwater settings from the early Silurian onwards.
biparietal	# en Between the two parietal bones
bespeak	# A request for a specific performance; a benefit performance, by a patron.
bitchiness	# The characteristic of being bitchy.
boron carbide	# en A binary compound of boron and carbon, B<sub>4</sub>C, that is a very hard ceramic, and is used in tank armour, bulletproof vests etc.
bladesmithing	# The work of a bladesmith; the manufacture of knives and swords.
big iron	# en Large, expensive, powerful computers such as mainframes.
borking	# en The act of defeat#Verb|defeating a person's appointment or election, judicial nomination, etc., through a concerted#Adjective|concerted attack#Noun|attack on the person's character, background, and philosophy.
bierock	# runza (type of snack)
banj	# en hashish|Hashish or henbane.# en ''Quercus leucotrichophora'', a type of oak.
Bethe lattice	# en A kind of connected cycle-free graph.
bimoclomol	# en A drug, ''(3Z)-N-(2-hydroxy-3-piperidin-1-ylpropoxy)pyridine-3-carboximidoyl chloride'' that induces heat shock proteins
betroth	# To promise to give in marriage.#: ''He '''betrothed''' his daughter to a distant relative.''# To promise to take (as a future spouse); to plight one's troth to.
blue hen-hawk	# The goshawk.Category:en:Birds of prey
back-of-the-envelope	# en approximate|Approximate, rough, simplified, especially of a calculation, estimation or other reasoning.#: ''Do some '''back-of-the-envelope''' calculations before all the facts come in.''
brush-tailed penguin	# a penguin of the ''Pygoscelis'' genus.
bump stock	# An attachment on a gun used to make it fire repeatedly that modifies it to function in a similar way to a machine gun.
borderwork	# The exploration of conceptual borders and borderspaces.
burlap	# en A very strong, coarse cloth, made from jute, flax or hemp, and used to make sacks etc.
bang away	# en to strike or hit repeatedly#: '''''bang away''' on the drums''# en to work tirelessly#: ''I've been '''banging away''' at the essay for ages, but it still isn't finished.''# en to constantly and irritatingly talk (about)#: ''My folks keep '''banging away''' at me to study harder.''
bioindication	# The action of a bioindicator.
bioaccumulate	# en To accumulate in a biological system over time.
boofheaded	# en having an oversized head.# en stupid; dimwitted.
batchoy	# en noodle|Noodles mixed with pork offal, crushed pork cracklings, chicken stock, and beef loin.
breed in and in	# To breed from animals of the same stock that are closely related.
burlak	# en in old Russia, a man employed in dragging barges or ships upstream.
biadjunction	# en A biadjoint adjunction
bedevilment	# The characteristic of being bedeviled.
bollock sack	# en The scrotum.
braking distance	# The distance travelled by a vehicle between the time that the brakes are applied and the vehicle coming to rest 
benderizine	# An antiarrhythmic drug.Category:en:Drugs
balefire	# An outdoor fire used in witches' rituals.|lang=en|year=2002|year_published=|edition=|editor=|author=Marilyn F. Daniel|title=Kitchen Witchery|chapter=|url=http://books.google.com/books?id=OM97YrA6tAMC&pg=PA236&dq=balefire&hl=en&sa=X&ei=txHlT_jDDpKO8wShwIzQDg&redir_esc=y#v=onepage&q=balefire&f=false|genre=|publisher=Weiser|isbn=9781578631896|page=236|passage=Rites done on a lakeshore or seashore can be illuminated with '''balefires''' of dried driftwood collected prior to the rite.}}
bifta	# en A cannabis cigarette.# en A cigarette.# en everything|Everything that is available or possible; the works.
bottom pair	# en A pair consisting of one hole card and the lowest-ranking community card.#: ''My hand: K4. The table: 48T. I have '''bottom pair''' (44).''
big woop	# en so what? Used dismissively to discount the importance of something or the magnitude of its effects.
boil-in-bag	# A food product supplied in a bag to be heated in boiling water. The bag may be impermeable, or it may have perforations to allow water to enter and later be drained off.
biomanufacture	# manufacture aided by biological methods|passage=Finally, through co-expression with the adequate synthases, the capacity of 4CL5 to activate dihydrocinnamates creates the potential for '''biomanufacture''' of valuable natural products, such as the antibacterial dihydrocinnamoyl forms of flavans and chalcones 41 ,42 ]. }}
beer up	# en To drink a lot of beer.
buckyonion	# en A concentric multishell fullerene structure.|passage=Detections of C60 and C70 fullerenes in planetary nebulae (PNe) of the Magellanic Clouds and of our own Galaxy have raised the idea that other forms of carbon such as hydrogenated fullerenes (fulleranes like C60H36 and C60H18), '''buckyonions''', and carbon nanotubes, may be widespread in the Universe. }}
belyankinite	# en An amorphous mineral containing calcium, hydrogen, niobium, oxygen, titanium, and zirconium.
bunkerlike	# Resembling a military bunker|passage=It also said damage at the plant had only occurred in less critical areas, which had been built to less stringent standards than the reactors, which were housed in '''bunkerlike''' concrete buildings.}}
busing	# The transportation of schoolchildren, by bus, to schools in other neighbourhoods in order to alleviate social inequalities or to achieve racial integration.
Bridget	# en An Irish housemaid.Category:English 2-syllable words
bewitchedness	# The state or quality of being bewitched.
Bonifacian	# Relating to .Category:English eponyms
bacterioscopist	# One who carries out bacterioscopy.
bewaste	# en To waste utterly or completely.
bounce to the ounce	# en The quality of being bouncy or exuberant.# en efficiency|Efficiency or effectiveness; bang for the buck.
baptised	# en Who has been baptised.
bicellular	# en Composed of two cells; having two cells.
bioconcentrated	# Subject to bioconcentration
buttmunch	# en Term of abuse for a stupid or contemptible person.|lang=en|last=Stuckey|first=James P.|title=Re: Serpents/Rangers|newsgroup=rec.games.empire|id=CDnw31.KCH@rahul.net|url=https://groups.google.com/forum/#!original/rec.games.empire/95NlfaOv6pI/mTOfUyzlCOkJ|accessdate=2018-10-04|date=20 Sep 1993|passage=Oh, now we have '''buttmunches''' talking how this is off charter! Isn't that great. Why don't you go find new ways to cheat, Scott?}}
boyfriendship	# en The quality or state of being someone's boyfriend|passage=Back home, visions of '''boyfriendship''' danced through my head.}}
boldship	# en The characteristic of being bold; boldness.
buroo	# en The Labour Bureau; hence, unemployment benefits; the dole.
buron	# en A traditional Auvergne shepherd's hut with a thatched roof, or a rustic mountain chalet in the same style.|passage=According to Jaques, too, most of the tourists at the '''buron''' were French people with 'farming roots'}}
baking sheet	# sheet pan, baking tray
bearmeal	# en barley meal
bovichtid	# en Any member of the Bovichtidae.
breeze past	# To pass by (someone or something or an issue or problem) without consideration, notice, difficulty or concern.#: ''She '''breezed past''' the issue so I didn't get her take on it.''# To easily overtake or pass (someone) in a competition.#: ''She '''breezed past''' her opponents to win the race.''Category:English phrasal verbsCategory:English phrasal verbs with particle (past)
binangle	# en A form of chisel in which two angles keep the cutting edge or point close to its central axis
book bin	# A bin for collecting or storing books.
bonkersdom	# en The state of being bonkers; craziness.
boxcar	# en To reduce to a boxcar function.
butyldimethylsilyl	# en The univalent silyl radical containing one butyl and two methyl grups
black-striped wallaby	# A medium-sized wallaby, , from Queensland and New South Wales
boxcab	# en a locomotive in which the machinery and crew areas are enclosed in a box-like superstructure
biosurveillance	# The monitoring of the biological environment, as for example to forestall disease.|passage=“We need to have uniform '''biosurveillance''' capability to prepare not only for a pandemic, but any outbreak of infectious disease.”}}
bangle ear	# en A loose hanging ear of a horse, like that of a spaniel.
blevey	# en To explode as the result of a BLEVE#: “Mississauga had one '''blevey''',” said JoAnn Kropf-Hedley, who represented Emergency Management Ontario in Melrose and sits on all of Northumberland County’s emergency committees. “This (at Melrose) was three '''bleveys'''. There’s never been a derailment in Canada that’s had three cars '''blevey'''. It was really unbelievable.” http://www.indynews.ca/archives/news/march_2003/keeping_track.html]
botrocetin	# en A coagglutinin, present in snake venom, that causes platelet aggregation
bifronted	# Having two fronts.
benzylguanine	# en Any benzyl derivative of guanine, but especially ''O6-benzylguanine'' that is an antineoplastic agent
blackdar	# en The ability to detect whether or not a person is of African ancestry by observing that person.
besnow	# en To snow on; cover with snow, or as if with snow.# en To scatter like snow.# en To whiten.
box elder	# ''Acer negundo''
brickety-brack	# Assorted low-value items; ordinary objects
bimbo	# en A physically attractive woman who lacks intelligence.#: # en A stupid or foolish person.
benevolous	# en kind; benevolent#: 
bhikkhu	# A Buddhist monk or priest; one who follows all Buddhist precepts as a full member of the sangha.
bottleful	# as much as a bottle will hold
bissotwo	# The number two in the w:NATO_phonetic_alphabet#International_adoption|International phonetic alphabet.Category:en:Two
bredder	# en brother or bredrin; a close male friend or associate.
beach hut	# en A small, single-room building above high-water mark on a beach that is used for changing into swimming clothes, for recreation, or for temporary storage.
biosignature	# en Any measurable phenomenon that indicates the presence of life.
biographic	# biographical
bibliometrics	# The statistical analysis of texts, especially of published literature
buoyantly	# In a buoyant manner.
bromochlorosalicylanilide	# An antifungal drug, 5-bromo-N-(4-chlorophenyl)-2-hydroxybenzamide.Category:Long English words
blockbusterish	# en Like a blockbuster production; extremely successful.
bual	# A variety of madeira (wine) that is less sweet than malmsey
bureausis	# en A psychological aversion to bureaucracy|bureaucracies or bureaucratic behaviors, which are perceived to be impersonal and dehumanizing.
blackbutt	# en Any of several Australian eucalyptus trees with a dark fibrous bark, especially , having dark fibrous bark.Category:en:Eucalypts
buat	# en A lantern.# en The moon.#: 
barbarianess	# en female barbarian
buoy tender	# en Someone charged with looking after buoys.# A ship used to maintain navigational buoys.Category:en:Watercraft
but good	# en To a high degree; very thoroughly; in a most definite manner.
buntine	# bunting; woollen cloth for flags
birational	# en Describing a rational geometric function that has a rational inverse
Bakhtinian	# Of or pertaining to Russian philosopher and literary theorist w:Mikhail Bakhtin|Mikhail Bakhtin.Category:English eponyms
biosource	# A biological source of some material.|passage=The reason petroleum so often serves as the foundation for plastics production is that it offers an ultraconcentrated source of carbon, but carbon is carbon and with the right manipulations other handier '''biosources''' like lawn litter will do.}}
boning rod	# A wooden rod shaped like a large T-square, used for establishing level surfaces.
bacterial meningitis	# A type of meningitis caused by bacterial infection.
blind pig	# en A blind tiger or speakeasy. # en A police officer who has been bribed to ignore illegal activities.
buy a dog and bark oneself	# To do something that one has hired someone else to do.
bighead	# en A person having an inflated opinion of himself; a conceited or arrogant person.# en One of several species of fish having a large head.# en One of several animal diseases that cause swelling of the head.
bright and early	# en enCategory:English coordinated pairs
belimp	# en To happen; occur; befall.
bright-eyed and bushy-tailed	# en eager|Eager, alert, enthusiastic, and lively.
benzalkonium	# en Any of a class of quaternary ammonium cations containing a benzyl, two methyl and another, longer alkyl group
belimb	# en To cut off a limb or limbs; dismember; mutilate; disfigure.
bumpety	# A bumping sound suggesting a jolting motion.#: ''I dropped the cup and it fell '''bumpety'''-bump down the stairs.''
bioquantification	# biochemical quantification
belime	# en To besmear or entangle with or as with bird-lime.
brap	# The staccato sound of machine gun fire.
butyrogenic	# en (''of a microorganism'') That forms butyrate by fermentation of glucose in the intestines
black francolin	# A game bird in the francolin family, ''mul''
barwalking	# en A form of showmanship in which a musician stands on the bar|passage=He sang in an urgent, desperate sort of chant, and on saxophone he exaggerated the squealing sharpness of the R & B '''barwalking''' tradition.}}
brag	# en proudly; boastfully#: 
brae	# en The sloping bank of a river-valley; any slope or hillside.
brad	# en To attach using a brad.
brak	# en brackish|Brackish.
bran	# The broken coat of the seed of wheat, rye, or other cereal grain, separated from the flour or meal by sifting or bolting; the coarse, chaffy part of ground grain.# en The European carrion crow.
buffalo hump	# A hump on the back, or the back of the neck, resulting from lipodystrophy.
Bok globule	# A dark cloud of dense cosmic dust and gas in which star formation sometimes takes place.Category:English eponyms
barbola	# Small models of fruit or flowers made from barbotine.
black mangrove	# A tree or woody shrub common in swampy salt-water areas along the Atlantic tropical coasts of Africa and South America, extending north into the Pacific tropics, and into the Gulf Coast and South Florida in North America ()# en # en #  spp.
body wrap	# en The practice of wrapping the recipient of a massage in something resembling cellophane as a beauty treatment.# en The air-permeable wrapping material used in this process.
Besselian	# en Relating to 
bromoacetal	# en Any bromo derivative of an acetal
barbiturase	# en A barbiturate amidohydrolase
barytum	# en barium
buphthalmia	# buphthalmos; abnormal enlargement of the eyeball
buphthalmic	# Exhibiting, or relating to, buphthalmia.
bradyseism	# en A gradual uplift or descent of part of the Earth's surface caused by the filling or emptying of an underground magma chamber and/or hydrothermal activity, particularly in volcanic calderas.
blottery	# Resembling blotting paper.
blessing in disguise	# en A seeming misfortune that turns out to be for the best.
bisexual	# A person who is #Adjective|bisexual.# en A plant or fungus, or part thereof, which is #Adjective|bisexual.
bubbe meise	# en grandmother's tale; An "old wives' tale"; a fairytale.
bootblack	# en To shine shoes.Category:en:OccupationsCategory:en:People
black-footed cat	# ''Felis nigripes'', the smallest African cat, endemic in the south west arid zone of the southern African subregion.
bought and paid for	# # corrupted|Corrupted by money from special interests; bribed.
beebread	# Bee pollen with added honey and bee secretions, made and stored in brood cells by forager bees, and used as food for worker bees and larvae.
brightening	# An instance of becoming brighter.
backfilling	# The process by which something is backfilled.#: ''the '''backfilling''' of trenches''
bone of contention	# en Something that continues to be disputed; something on which no agreement can be reached#: ''It is still a '''bone of contention''' whether to go ahead with the original plan in light of the new evidence.''|lang=en|date=November 18, 2018|author=Phil McNulty|title=England 2 - 1 Croatia|work=BBC Sport|url=https://www.bbc.com/sport/football/46167890|page=|passage=England's "Football Coming Home" anthem became a serious '''bone of contention''' at the World Cup - with Croatia using it as a sign of arrogance from their opponents in the build up to the semi-final.}}
bronchopneumonic	# Relating to, or caused by bronchopneumonia
bronchopneumonia	# en A bacterial infection of the lungs, characteristically showing numerous small foci of infection.
bipartidism	# en The state or condition of having a two-party system.|passage=In fact, the number of candidatures and electoral choices were initially small and increased during the transition from '''bipartidism''' to pluripartidism 24 ]. }}
blue-green	# Of a color between blue and green; darker shades are called teal, lighter ones are cyan.
blue cohosh	# A perennial American herb (), the root of which is used in medicine.
basseting	# en The upward direction of a vein in a mine.# en The emergence of a stratum at the surface.
Barau's petrel	# A medium-sized gadfly petrel, ''Pterodroma baraui''.Category:English eponymsCategory:en:Tubenose birds
beminded	# Possessing or endowed with a mind.
block diagram	# A pictorial representation of a system or process in which subsystems or other components are represented by geometric shapes joined by lines or arrows
bare-breasted	# en Having the breasts and nipples exposed, often implying a less salacious atmosphere than topless.
butterine	# A substance prepared from animal fat with some other ingredients intermixed, as an imitation of butter.
buttering	# The application of butter to something.
burn the water	# en To spear salmon by torchlight.
by Jove	# en invocation|lang=en|year=1575|year_published=1826|editor=Isaac Reed, Octavius Gilchrist|chapter=Apius and Virginia|title=A Select Collection of Old Plays|location=London|publisher=Septimus Prowett|page=353|pageurl=https://books.google.com/books?id=4h9AAAAAYAAJ&pg=PA353|passage='''By Jove''', master marchant, by sea or by land / Would get but smale argent if I did not stand / His very good master, I may say to you, / When he hazards in hope what hap will insue.}}invocationw|Appius and Virginia}}invocationsic}}
battlesome	# Characterised or marked by battle|battle(s); quarrelsome
buck-toothed	# Having bucktooth|buckteeth
biscutate	# Having two shields or bucklers (or objects with such a shape)
bookable	# Able to be booked or reserved.#: ''All the seats for the show are '''bookable'''.''# en Warranting a booking (a yellow card).#: ''The player was sent off for two '''bookable''' offences.''
battery hen	# A hen kept in a small cage or battery. 
boldhead	# en boldness|Boldness; courage.
bartelkeite	# en A monoclinic mineral containing germanium, iron, lead, and oxygen.
basiomycete	# Any fungus of the division Basidiomycota
boyar	# en A member of a rank of aristocracy (second only to princes) in Russia, Bulgaria and Romania.
boyau	# en A small trench or ditch, typically built in a zigzag pattern, serving to connect or provide communication between two trenches, particularly the rear and front lines.# A line, drawn winding about, in order to enclose several tracts of land, or to attack some works.
blazonry	# blazon|Blazon.# A coat of arms; an armorial bearing or bearings.# An artistic representation or display.
burbler	# One who burbles.
booby prize	# en A prize or status, often unwelcome, awarded as a joke or disincentive to the loser of a contest or for poor performance.#: ''At the end of the conference, they awarded him with a rubber chicken as a '''booby prize''' for complaining the loudest.''
bathochromic	# en Of a change in the position of a spectral band, to a lower frequency
bandier	# One who bandies.#: ''a '''bandier''' of words''
bulleted list	# A list whose items start with the typographical bullet, that is •, or with other symbols other than numbers.
battle buddy	# en Another servicemember assigned to mutually help another under the battle buddy system, and by extension any comrade.
bideltoid	# en Relating to, or connecting, the two deltoid muscles.
business practice	# the usual procedure followed in business, or a particular business.
beer snake	# en A long, flexible construction of stacked, empty plastic beer cups, made by the crowd at long sporting fixtures (especially cricket matches)
bolalipid	# en Any of a class of tetraether lipids, found in Archaea bacteria, that confer stability to these bacteria by spanning the cytoplasmic membrane.
best practice	# en A well-defined procedure that is known to produce near-optimum results.
booster bag	# A bag lined with foil, used for shoplifting.
Bismarckian	# Of or pertaining to  (1815-1898), German statesman associated with antisocialism, complex diplomacy and the creation of the welfare state.
battleplane	# An airplane for military use.
birthstool	# A special type of seat to provide balance and support during childbirth.
balanced diet	# A diet consisting of suitable proportions of foods from all food groups.
borefest	# en An extremely boring event.
Bristol whitebeam	# A species of whitebeam, , native to the Avon Gorge and surrounding areaCategory:en:Pome fruits
bachelorhood	# The condition of being a bachelor.
bronzeworking	# The making of useful or decorative items from bronze.
boxed	# Packed into a box or boxes.#: ''The books are '''boxed''', ready for shipping.''# In bridge and other card games if the cards in a pack are reversed face-up and face-down then the pack is said to be boxed.
bastarda	# A type of simplified Gothic script used primarily in continental Europe during the fourteenth and fifteenth centuries.
basonuclin	# en A zinc finger protein present in skin and hair
ball of fire	# en A person who is especially hard-working, high-achieving, ambitious, or active.
boxer	# A participant (fighter) in a boxing match.#: ''You can tell she's a '''boxer''' by looking at her nose.''# A breed of stocky, medium-sized, short-haired dog with a square-jawed muzzle.# A type of internal combustion engine in which cylinders are arranged in two banks on either side of a single crankshaft.# The person running a game of two-up.# One who packs boxes.# A letterboxer.
bouton	# A bud-like swelling, especially one at the end of an axon
bastardy	# en The condition of being illegitimate, of being born to an unmarried woman or as the fruit of adultery.
beardtongue	# A flowering plant in the genus ''Penstemon'' with a prominent, often hairy, staminode.Category:en:Plantain family plants
Beelzebubian	# Of or pertaining to Beelzebub.Category:English eponyms
bridenapping	# The kidnap of a woman as a bride.
bootup	# en The process of boot up|booting up.
Barnum effect	# The tendency of individuals to give high accuracy ratings to descriptions of their personality that are in fact vague and general enough to apply to a wide range of people.
beer league	# An amateur sports league composed of recreational players.
branchiomotor	# en Of or pertaining to the movement of the gills or the muscles of the branchial arches
blastogenetic	# Relating to blastogenesis.
boastance	# en boasting#: 
beeswinged	# Of wine: having the filmy, translucent crust called beeswing.# en Covered with a filmy layer.#: ''the '''beeswinged''' eyes of the old man''
beating	# The action by which someone or something is beaten.#: ''the '''beating''' of a drum''#: ''secret '''beatings''' of prisoners''# A heavy defeat or setback.|lang=en|date=October 23, 2011|author=Phil McNulty|title=Man Utd 1 - 6 Man City|work=BBC Sport|url=http://news.bbc.co.uk/sport2/hi/football/15325536.stm|page=|passage=To increase United's pain, this was their first home defeat in any competition since April 2010, when they lost to Chelsea - but even that defeat, which effectively cost them the title, may not turn out to have the same long-term significance as this heavy '''beating'''.}}
bakeboard	# en<!--citations that Google Books says are modern turn out to not be on direct inspection; some are reprints of 1800s works--> A board upon which dough is prepared (kneaded, etc) while making bread.
bathysciadiid	# en Any member of the Bathysciadiidae.
Burlington bun	# en A jelly doughnut.
bull gravy	# en cream gravy  <!--same as "sawmill gravy"? not sure--># en nonsense; bullshit# en semen
bidentalian	# Any extinct therapsid of the superfamily 
black rat	# A common species of rat, ''Rattus rattus''.
bookstaff	# en letter, letter of the alphabet, a written character.
buddy system	# The practice of working or travelling together with at least one other person, especially when undertaking something potentially risky or hazardous.#: ''Use the '''buddy system''' so that you can look after each other on the trip.''
bulbiform	# Shaped like a bulb.
bimodule	# en An abelian group that is both a left and a right module, such that the left and right multiplications are compatible
be left holding the baby	# en To be left with the responsibility of resolve|resolving a problem.
bovuroboside	# A particular steroid glycoside.
bastard cedar	# incense cedar (''Calocedrus'' spp.)## # sequoia (''Sequoia'' or )# Spanish cedar ()# chinaberry  (''Melia azedarach'')# ribbonwood ()# #  ()Category:en:Cypress family plantsCategory:en:Mallow family plantsCategory:en:Rose family plantsCategory:en:Sapindales order plants
burger bun	# a (sliced) soft white bread roll in which a hamburger, cheeseburger etc. is placed 
bitting	# the part of a key that engages the tumblers to activate the lock
budgetwise	# Relating to, or in reference to, (one's) budget
butaxamine	# A β2-selective beta blocker used in certain experimental situations but not clinically.
bookend	# en To come before and after, or at both sides of.|passage=Side one has good songs '''bookended''' by better songs.}}
bibble-babble	# Idle talk; babble.|lang=en|year=c. 1601–1602|first=William|last=Shakespeare|authorlink=William Shakespeare|title=|section=act 4, scene 2|lines=95–97|passage=Malvolio, Malvolio, thy wits the / heavens restore! Endeavour thyself to sleep and leave / thy vain '''bibble-babble'''.}}
birch sap	# The sap of a birch tree.
bodynet	# en An array of technology attached to the body.Category:English 3-syllable words
bespatter	# en To spatter or cover with something; sprinkle with anything liquid, or with any wet or adhesive substance.# en To soil by spattering.# en To asperse with calumny or reproach; shend.
bracteopetal	# en A petal that is derived from a modified bract
becoming	# pleasingly suitable; fit; congruous# decent, respectable
Belgie	# en A Belgian.
Belgic	# Of or pertaining to the Belgae, a German tribe who anciently possessed the country between the Rhine, the Seine, and the ocean.# en Of or pertaining to the Netherlands or to Belgium.
Bukusu	# An indigenous tribe of Kenya.
box girder	# A steel beam with a hollow rectangular cross section; used for constructing bridges
Benjamite	# A Benjaminite.Category:English eponyms
biohydrometallurgical	# Of or relating to biohydrometallurgy.
bicovenantal	# en Relating to two covenants.
beetle-crusher	# en A large, flat foot
bohriate	# en Any oxyanion of bohrium; any salt containing such an ion
Bongard problem	# A kind of puzzle in which there is one common factor in a first set of diagrams that is missing from a second set. The solver (possibly a computer program) must identify this factor.Category:English eponyms
Barlow lens	# en A diverging lens which, used in series with other optics in an optical system, increases the effective focal length of an optical system as perceived by all components that are after it in the system.
bison grass	# , an aromatic herb native to North America and Eurasia, so called principally when used to flavor a Polish vodka.
blue starter	# en an upper atmospheric optical phenomena associated with thunderstorms, rapidly expanding disk-shaped regions of luminosity, lasting less than a thousandth of a second, which occur high above energetic cloud-to-ground lightning of positive or negative polarity, reaching to only about 12 miles altitude that occur over regions where large hailstones were falling
Bull Moose	# en A member of the , an American political party formed by former President  after a split in the Republican Party.
benefit society	# A society or association formed for mutual insurance, as among tradesmen or in labour unions, to provide for relief in sickness, old age, etc. and for the expenses of burial.
boffer	# en A fake weapon made from foam and used in simulated combat, as in roleplaying games.
burdon	# A mule born of a horse and a she-ass.
bioentity	# A biological entity of any kind.
blottoed	# en blotto#Adjective|Blotto; drunk#Adjective|drunk.
Baroque guitar	# en An archaic form of guitar with five strings, originating in the Baroque era, played by either strumming or plucking, and characterized by the use of re-entrant tuning.
biexciton	# en A quantum combination of two excitons
beet radish	# en The , ''Beta vulgaris''.Category:en:Amaranths and goosefoots
beauty mark	# en A single, circular, dark spot, especially on one side of a woman's face below the forehead, produced either naturally (as by a mole) or artificially using cosmetics.
biosatellite	# an artificial satellite that is designed to carry humans or other organisms
brown bastard	# en A type of sweet wine.Category:en:Wines
biodiffusion	# biological diffusion
band chief	# en The chief or headman of a band society.# The chief elected officer of an Indian band in Canada.  The chairperson of the band council for an Indian band.  Roughly equivalent to a mayor in non-indigenous local government.
burn one's fingers	# en to harm oneself; to suffer consequences of one's actions.#: ''He '''burned his fingers''' in the stock market and has been timid about investing ever since.''
baggie	# en A small bag, especially a small, clear, plastic bag.
banana bread	# A type of bread made with mashed bananas.
baggit	# A salmon that has just spawned.
beertail	# A cocktail made with beer.
Brady Bunch	# A large number of children in a family; a large family.# Children in a family who are from previous partnerships of the parents; a family that includes children from previous partnerships of the parents.Category:English eponyms
binary function	# en a function of the type <math>f: V \times V \rightarrow V </math>, or more generally, a function of the type <math> f : U_1 \times U_2 \times ... \times U_n \rightarrow V </math> in which exactly two of the sets ''U<sub>i</sub>'' are equal to ''V''.
burgeon	# en To grow or expand.#: ''Gradually, the town '''burgeoned''' into a thriving city.''#: # en To swell to the point of bursting.# en Of plants, to bloom, bud.#: 
bicchulite	# en An isometric-hextetrahedral colorless mineral containing aluminum, calcium, hydrogen, oxygen, and silicon.
base sheet	# en an impregnated, saturated, or coated felt placed as the first ply in some low-slope roof systems.
bomber seat	# A lightweight pressed-metal car seat, in the style of classic bomber aircraft.
blurbification	# The act or process of distillation into a blurb or sound bite.
biodot	# A small circle containing a liquid crystal whose colour indicates the temperature of the skin on which it placed; changes in temperature may be related to stress
bring to justice	# en To cause a person alleged to have committed criminal acts to be brought to trial on the offenses.
buzzlike	# Resembling or characteristic of a buzz (humming sound).
boitjie	# en A sporty young man; a jock.Category:en:People
besom-head	# en A fool; a blockhead.
Beamonesque	# en spectacular; remarkableCategory:English eponyms
blazered	# Wearing a blazer.
